quran_text,ur_meaning,en_meaning
فِیْ,میں,But Allah
تَكْذِیْبٍ,جھٹلانے میں ہیں,from
وَّاللّٰهُ,اور اللہ,behind them
مِنْ,سے,encompasses
وَّرَآىِٕهِمْ,ان کے آگے/ پیچھے سے,Nay
مُّحِیْطٌ,گھیرے ہوئے ہے,It
بَلْ,بلکہ,(is) a Quran
هُوَ,وہ,Glorious
قُرْاٰنٌ,قرآن,In
مَّجِیْدٌ,مجید ہے,a Tablet
فِیْ,میں,Guarded
لَوْحٍ,لوح,By the sky
مَّحْفُوْظٍ,محفوظ,and the night comer
وَالسَّمَآءِ,قسم ہے آسمان کی,And what
وَالطَّارِقِ,اور رات کو آنے والے کی,can make you know
وَمَاۤ,اور کیا چیز,what
اَدْرٰىكَ,بتائے تجھ کو,the night comer (is)
مَا,کیا ہے,(It is) the star
الطَّارِقُ,وہ رات کو آنے والا,the piercing
النَّجْمُ,تارہ,Not
الثَّاقِبُ,چکمتا ہوا,(is) every
اِنْ,نہیں,soul
كُلُّ,کوئی,but
نَفْسٍ,شخص,over it
لَّمَّا,مگر,(is) a protector
عَلَیْهَا,اس پر,So let see
حَافِظٌ,حفاظت کرنے والا ہے/ نگرانی کرنے والا ہے,man
فَلْیَنْظُرِ,پس چاہیے کہ دیکھے,from what
الْاِنْسَانُ,انسان,he is created
مِمَّ,کس چیز سے,He is created
خُلِقَ,وہ پیدا کیا گیا,from
خُلِقَ,پیدا کیا گیا,a water
مِنْ,سے,ejected
مَّآءٍ,پانی (سے),Coming forth
دَافِقٍ,جو ٹپکنے والا ہے,from
یَّخْرُجُ,نکلتا ہے,between
مِنْ,سے,the backbone
بَیْنِ,درمیان سے,and the ribs
الصُّلْبِ,پیٹھ کی ہڈی کے,Indeed He
وَالتَّرَآىِٕبِ,اور سینے کی ہڈیوں ( کے درمیان سے),to
اِنَّهٗ,بیشک وہ,return him
عَلٰی,اوپر,(is) Able
رَجْعِهٖ,اس کے واپس لانے کے,(The) Day
لَقَادِرٌ,البتہ قادر ہے,will be tested
یَوْمَ,جس دن,the secrets
تُبْلَی,جانچ پڑتال ہوگی,Then not
السَّرَآىِٕرُ,پوشیدہ رازوں کی,(is) for him
فَمَا,تو نہیں ہوگی,any
لَهٗ,اس کے لئے,power
مِنْ,کوئی,and not
قُوَّةٍ,قوت,any helper
وَّلَا,اور نہ,By the sky
نَاصِرٍ,کوئی مددگار,which
وَالسَّمَآءِ,قسم ہے آسمان کی,returns
ذَاتِ,والے کی,And the earth
الرَّجْعِ,پلٹنے (والے کی),which
وَالْاَرْضِ,اور زمین کی,cracks open
ذَاتِ,والی ہے,Indeed it
الصَّدْعِ,جو پھٹنے (والی ہے),(is) surely a Word
اِنَّهٗ,بیشک وہ,decisive
لَقَوْلٌ,البتہ ایک بات ہے,And not
فَصْلٌ,فیصلہ کن,it
وَّمَا,اور نہیں,(is) for amusement
هُوَ,وہ,Indeed they
بِالْهَزْلِ,کوئی ہنسی مذاق,are plotting
اِنَّهُمْ,بیشک وہ,a plot
یَكِیْدُوْنَ,چال چل رہے ہیں,But I am planning
كَیْدًا,ایک چال,a plan
وَّاَكِیْدُ,اور میں تدبیر کر رہا ہوں,So give respite
كَیْدًا,ایک تدبیر,(to) the disbelievers
فَمَهِّلِ,پس ڈھیل دے دو,Give respite to them
الْكٰفِرِیْنَ,کافروں کو,little
اَمْهِلْهُمْ,ڈھیل دو ان کو,Glorify
رُوَیْدًا,مہلت تھوڑی سی,(the) name
سَبِّحِ,تسبیح کیجئے,(of) your Lord
اسْمَ,نام کی,the Most High
رَبِّكَ,اپنے رب کے,The One Who
الْاَعْلَی,جو سب سے بلند ہے,created
الَّذِیْ,وہ جس نے,then proportioned
خَلَقَ,پیدا کیا,And the One Who
فَسَوّٰی,پھر درست بنایا,measured
وَالَّذِیْ,اور وہ ذات,then guided
قَدَّرَ,جس نے انداز کیا/ تقدیر بنائی,And the One Who
فَهَدٰی,پھر ہدایت بخشی,brings forth
وَالَّذِیْۤ,اور وہ ذات,the pasture
اَخْرَجَ,جس نے نکالا,And then makes it
الْمَرْعٰی,چارہ,stubble
فَجَعَلَهٗ,پھر بنادیا اس کو,dark
غُثَآءً,خشک گھاس/ کوڑا,We will make you recite
اَحْوٰی,سیاہ کیا,so not
سَنُقْرِئُكَ,عنقریب ہم پڑھوا دیں گے تجھ کو,you will forget
فَلَا,تو نہ,Except
تَنْسٰۤی,تم بھولو گے,what
اِلَّا,مگر,wills
مَا,جو,Allah
شَآءَ,چاہا,Indeed He
اللّٰهُؕ,اللہ نے,knows
اِنَّهٗ,بیشک وہ,the manifest
یَعْلَمُ,وہ جانتا ہے,and what
الْجَهْرَ,ظاہر کو,is hidden
وَمَا,اور جو,And We will ease you
یَخْفٰی,پوشیدہ ہے,to the ease
وَنُیَسِّرُكَ,اور ہم آسان کر رہے ہیں تجھ کو/ تیرے لئے,So remind
لِلْیُسْرٰی,واسطے آسانی کے,if
فَذَكِّرْ,پس نصیحت کیجئے,benefits
اِنْ,اگر,the reminder
نَّفَعَتِ,فائدہ دے,He will pay heed
الذِّكْرٰی,نصیحت کرنا,(one) who
سَیَذَّكَّرُ,عنقریب نصیحت پکڑے گا,fears (Allah)
مَنْ,وہ جو,And will avoid it
یَّخْشٰی,ڈرتا ہوگا,the wretched one
وَیَتَجَنَّبُهَا,اور گریز کرے گا اس سے,The one who
الْاَشْقَی,سب سے زیادہ بدبخت,will burn
الَّذِیْ,وہ جو,(in) the Fire
یَصْلَی,داخل ہوگا,[the] great
النَّارَ,آگ میں,Then
الْكُبْرٰی,بڑی,not
ثُمَّ,پھر,he will die
لَا,نہ,therein
یَمُوْتُ,وہ مرے گا,and not
فِیْهَا,اس میں,will live
وَلَا,اور نہ,Certainly
یَحْیٰی,زندہ ہوگا,has succeeded
قَدْ,یقیناً,(one) who
اَفْلَحَ,فلاح پا گیا,purifies (himself)
مَنْ,وہ جس نے,And remembers
تَزَكّٰی,پاکیزگی اختیار کی,(the) name
وَذَكَرَ,اور ذکر کیا/ یاد کیا,(of) his Lord
اسْمَ,نام,and prays
رَبِّهٖ,اپنے رب کا,Nay
فَصَلّٰی,پھر اس نے نماز پڑھی,You prefer
بَلْ,بلکہ,the life
تُؤْثِرُوْنَ,تم ترجیح دیتے ہو,(of) the world
الْحَیٰوةَ,زندگی کو,While the Hereafter
الدُّنْیَا,دنیا کی,(is) better
وَالْاٰخِرَةُ,اور آخرت,and everlasting
خَیْرٌ,بہتر ہے,Indeed
وَّاَبْقٰی,اور زیادہ باقی رہنے والی,this
اِنَّ,یقیناً,surely (is) in
هٰذَا,یہ,the Scriptures
لَفِی,البتہ میں,[the] former
الصُّحُفِ,صحیفوں میں ہے,(The) Scriptures
الْاُوْلٰی,پہلے,(of) Ibrahim
صُحُفِ,صحیفوں میں,and Musa
اِبْرٰهِیْمَ,ابراہیم,Has
وَمُوْسٰی,اور موسیٰ کے,(there) come to you
هَلْ,کیا,(the) news
اَتٰىكَ,آئی ہے تیرے پاس,(of) the Overwhelming
حَدِیْثُ,خبر,Faces
الْغَاشِیَةِ,ڈھانپ لینے والی کی/ چھا جانے والی آفت کی,that Day
وُجُوْهٌ,کچھ چہرے,(will be) humbled
یَّوْمَىِٕذٍ,اس دن,Laboring
خَاشِعَةٌ,ذلیل ہونے والے ہیں,exhausted
عَامِلَةٌ,عمل کرنے والے ہیں,They will burn
نَّاصِبَةٌ,محنت کرنے والے ہیں/ تھکنے والے ہیں,(in) a Fire
تَصْلٰی,داخل ہوں گے,intensely hot
نَارًا,آگ میں,They will be given to drink
حَامِیَةً,بھڑکتی ہوئی/ جلتی ہوئی,from
تُسْقٰی,پلائے جائیں گے,a spring
مِنْ,سے,boiling
عَیْنٍ,ایک چشمے سے,Not is
اٰنِیَةٍ,کھولتے ہوئے پانی کا,for them
لَیْسَ,نہیں,food
لَهُمْ,ان کے لئے,except
طَعَامٌ,کوئی کھانا,from
اِلَّا,سوائے,a bitter thorny plant
مِنْ,نا معلوم,Not
ضَرِیْعٍ,کانٹوں کے,it nourishes
لَّا,نہ,and not
یُسْمِنُ,موٹا کرے,it avails
وَلَا,اور نہ,from
یُغْنِیْ,کام آئے,hunger
مِنْ,سے,Faces
جُوْعٍ,بھوک,that Day
وُجُوْهٌ,کچھ چہرے,(will be) joyful
یَّوْمَىِٕذٍ,اس دن,With their effort
نَّاعِمَةٌ,نعمتوں والے ہوں گے,satisfied
لِّسَعْیِهَا,اپنی کوششوں پر,In
رَاضِیَةٌ,راضی ہوں گے,a garden
فِیْ,میں,elevated
جَنَّةٍ,جنت میں ہوں گے,Not
عَالِیَةٍ,عالی مقام,they will hear
لَّا,نہ,therein
تَسْمَعُ,سنیں گے,vain talk
فِیْهَا,اس میں,Therein
لَاغِیَةً,کوئی لغو بات/ کوئی بےہودہ بات,(will be) a spring
فِیْهَا,اس میں,flowing
عَیْنٌ,چشمے ہوں گے,Therein
جَارِیَةٌ,بہتے/رواں,(will be) thrones
فِیْهَا,اس میں,raised high
سُرُرٌ,مسندیں ہوں گی,And cups
مَّرْفُوْعَةٌ,بلند,put in place
وَّاَكْوَابٌ,اور پیالے,And cushions
مَّوْضُوْعَةٌ,رکھے ہوئے,lined up
وَّنَمَارِقُ,اور تکیے,And carpets
مَصْفُوْفَةٌ,صف در صف,spread out
وَّزَرَابِیُّ,اور مسندیں/ قالین,Then do not
مَبْثُوْثَةٌ,بچھا کر رکھی ہوئیں/ پھیلی ہوئیں,they look
اَفَلَا,کیا پھر وہ نہیں,towards
یَنْظُرُوْنَ,دیکھتے,the camels
اِلَی,طرف,how
الْاِبِلِ,اونٹ کی,they are created
كَیْفَ,کس طرح,And towards
خُلِقَتْ,پیدا کیا گیا ہے,the sky
وَاِلَی,اور طرف,how
السَّمَآءِ,آسمان (کی طرف),it is raised
كَیْفَ,کس طرح,And towards
رُفِعَتْ,اونچا اٹھایا گیا ہے,the mountains
وَاِلَی,اور  طرف,how
الْجِبَالِ,پہاڑوں (کی طرف),they are fixed
كَیْفَ,کیسے,And towards
نُصِبَتْ,نصب کردیئے گئے ہیں,the earth
وَاِلَی,اور طرف,how
الْاَرْضِ,زمین (کی طرف),it is spread out
كَیْفَ,کس طرح,So remind
سُطِحَتْ,بچھائی گئی ہے,only
فَذَكِّرْ۫,پس نصیحت کرتے رہو,you
اِنَّمَاۤ,بیشک,(are) a reminder
اَنْتَ,آپ,You are not
مُذَكِّرٌ,نصیحت کرنے والے ہیں,over them
لَسْتَ,نہیں آپ,a controller
عَلَیْهِمْ,ان پر,But
بِمُصَۜیْطِرٍ,کوئی داروغہ,whoever
اِلَّا,مگر,turns away
مَنْ,وہ جو,and disbelieves
تَوَلّٰی,منہ موڑ جائے,Then will punish him
وَكَفَرَ,اور کفر کرے,Allah
فَیُعَذِّبُهُ,تو عذاب دے گا اس کو,(with) the punishment
اللّٰهُ,اللہ,greatest
الْعَذَابَ,عذاب,Indeed
الْاَكْبَرَ,سب سے بڑا,to Us
اِنَّ,بیشک,(will be) their return
اِلَیْنَاۤ,ہماری طرف,Then
اِیَابَهُمْ,ان کا لوٹنا ہے,indeed
ثُمَّ,پھر,upon Us
اِنَّ,بیشک,(is) their account
عَلَیْنَا,ہمارے ذمہ,By the dawn
حِسَابَهُمْ,ان کا حساب ہے,And the nights
وَالْفَجْرِ,قسم ہے فجر کی,ten
وَلَیَالٍ,اور قسم ہے راتوں کی,And the even
عَشْرٍ,دس,and the odd
وَّالشَّفْعِ,اور قسم ہے جفت کی,And the night
وَالْوَتْرِ,اور قسم ہے طاق,when
وَالَّیْلِ,اور قسم ہے رات کی,it passes
اِذَا,جب,Is
یَسْرِ,وہ رخصت ہوتی ہو/ چلنے لگے,in
هَلْ,کیا,that
فِیْ,میں,(not) an oath
ذٰلِكَ,اس (میں),for those
قَسَمٌ,کوئی قسم ہے,who understand
لِّذِیْ,والوں کے لئے,Did not
حِجْرٍ,عقل (والوں کے لئے),you see
اَلَمْ,کیا  نہیں,how
تَرَ,تم نے دیکھا,dealt
كَیْفَ,کس طرح,your Lord
فَعَلَ,کیا,with Aad
رَبُّكَ,تیرے رب نے,Iram
بِعَادٍ,عاد کے ساتھ,possessors (of)
اِرَمَ,جو ارم کے تھے,lofty pillars
ذَاتِ,والے تھے,Which
الْعِمَادِ,جو ستونوں (والے تھے),not
الَّتِیْ,وہ جو,had been created
لَمْ,نہ,like them
یُخْلَقْ,پیدا کئے گئے,in
مِثْلُهَا,ان جیسے,the cities
فِی,میں,And Thamud
الْبِلَادِ,ملکوں (میں),who
وَثَمُوْدَ,اور ثمود,carved out
الَّذِیْنَ,وہ لوگ,the rocks
جَابُوا,جنہوں نے تراشا,in the valley
الصَّخْرَ,چٹانوں کو,And Firaun
بِالْوَادِ,وادی میں,owner of
وَفِرْعَوْنَ,اور فرعون کو,stakes
ذِی,والا,Who
الْاَوْتَادِ,جو میخوں والا تھا,transgressed
الَّذِیْنَ,وہ جنہوں نے,in
طَغَوْا,سرکشی کی,the lands
فِی,میں,And (made) much
الْبِلَادِ,ملکوں میں,therein
فَاَكْثَرُوْا,پھر کثرت سے کیا,corruption
فِیْهَا,ان میں,So poured
الْفَسَادَ,فساد/ بگاڑ,on them
فَصَبَّ,تو ڈالا/ انڈیلا,your Lord
عَلَیْهِمْ,ان پر,scourge
رَبُّكَ,تیرے رب نے,(of) punishment
سَوْطَ,کوڑا,Indeed
عَذَابٍ,عذاب کا,your Lord
اِنَّ,بیشک,(is) surely Ever Watchful
رَبَّكَ,تیرا رب,And as for
لَبِالْمِرْصَادِ,البتہ گھات میں ہے,man
فَاَمَّا,تو رہا,when
الْاِنْسَانُ,انسان,does
اِذَا,جب,try him
مَا,نا معلوم,his Lord
ابْتَلٰىهُ,آزماتا ہے اس کو,and is generous to him
رَبُّهٗ,اس کا رب,and favors him
فَاَكْرَمَهٗ,پھر عزت دیتا ہے اس کو,he says
وَنَعَّمَهٗ,اور نعمت دیتا ہے اس کو,My Lord
فَیَقُوْلُ,تو کہتا ہے,has honored me
رَبِّیْۤ,میرے رب نے,But
اَكْرَمَنِ,عزت دی مجھ کو,when
وَاَمَّاۤ,اور اگر پھر,does
اِذَا,جب,He try him
مَا,نا معلوم,and restricts
ابْتَلٰىهُ,وہ آزماتا ہے اس کو,for him
فَقَدَرَ,(اور) پھر تنگ کردیتا ہے,his provision
عَلَیْهِ,اس پر,then he says
رِزْقَهٗ,اس کا رزق,My Lord
فَیَقُوْلُ,تو وہ کہتا ہے,(has) humiliated me
رَبِّیْۤ,میرے رب نے,Nay
اَهَانَنِ,ذلیل کردیا مجھ کو/ رسوا کردیا مجھ کو,But
كَلَّا,ہرگز نہیں,not
بَلْ,بلکہ,you honor
لَّا,نہیں,the orphan
تُكْرِمُوْنَ,تم عزت دیتے,And not
الْیَتِیْمَ,یتیم کو,you feel the urge
وَلَا,اور نہیں,to
تَحٰٓضُّوْنَ,تم اکساتے/ ترغیب دیتے,feed
عَلٰی,پر,the poor
طَعَامِ,کھانا کھلانے پر,And you consume
الْمِسْكِیْنِ,مسکین کے,the inheritance
وَتَاْكُلُوْنَ,اور تم کھا جاتے ہو,devouring
التُّرَاثَ,میراث کو,altogether
اَكْلًا,کھانا,And you love
لَّمًّا,سمیٹ کر,wealth
وَّتُحِبُّوْنَ,اور تم محبت رکھتے ہو,(with) love
الْمَالَ,مال سے,immense
حُبًّا,محبت,Nay
جَمًّا,بہت زیادہ,When
كَلَّاۤ,ہرگز نہیں,is leveled
اِذَا,جب,the earth
دُكَّتِ,ریزہ ریزہ کر دی جائے گی,pounded
الْاَرْضُ,زمین,(and) crushed
دَكًّا,خوب ریزہ,And comes
دَكًّا,ریزہ کرکے,your Lord
وَّجَآءَ,اور آئے گا,and the Angels
رَبُّكَ,رب تیرا,rank
وَالْمَلَكُ,اور فرشتے,(upon) rank
صَفًّا,صف,And is brought
صَفًّا,در صف,that Day
وَجِایْٓءَ,اور لائی جائے گی,Hell
یَوْمَىِٕذٍ,اس دن,That Day
بِجَهَنَّمَ,جہنم,will remember
یَوْمَىِٕذٍ,اس دن,man
یَّتَذَكَّرُ,یاد کرے گا/ نصیحت پائے گا,but how
الْاِنْسَانُ,انسان,(will be) for him
وَاَنّٰی,اور کہاں سے ہے/ ہوگی,the remembrance
لَهُ,اس کے لئے,He will say
الذِّكْرٰی,نصیحت,O I wish
یَقُوْلُ,کہے گا,I had sent forth
یٰلَیْتَنِیْ,اے کاش کہ میں,for my life
قَدَّمْتُ,آگے بھیجتا,So that Day
لِحَیَاتِیْ,اپنی زندگی کے لئے,not
فَیَوْمَىِٕذٍ,تو اس دن,will punish
لَّا,نہ,(as) His punishment
یُعَذِّبُ,عذاب دے گا,anyone
عَذَابَهٗۤ,عذاب اس کا/ اس جیسا,And not
اَحَدٌ,کوئی ایک,will bind
وَّلَا,اور نہ,(as) His binding
یُوْثِقُ,باندھے گا,anyone
وَثَاقَهٗۤ,باندھنا اس کا,O
اَحَدٌ,کوئی ایک,soul
یٰۤاَیَّتُهَا,اے,who is satisfied
النَّفْسُ,نفس,Return
الْمُطْمَىِٕنَّةُ,مطمئنہ/ اطمینان والے نفس,to
ارْجِعِیْۤ,واپس چلو,your Lord
اِلٰی,طرف,well pleased
رَبِّكِ,اپنے رب کی,and pleasing
رَاضِیَةً,راضی,So enter
مَّرْضِیَّةً,پسندیدہ/ خوشی,among
فَادْخُلِیْ,پھر داخل ہوجاؤ,My slaves
فِیْ,میں,And enter
عِبٰدِیْ,میرے بندوں (میں),My Paradise
وَادْخُلِیْ,اور داخل ہوجاؤ,Nay
جَنَّتِیْ,میری جنت میں,I swear
لَاۤ,نہیں,by this
اُقْسِمُ,میں قسم کھاتا ہوں,city
بِهٰذَا,اس,And you
الْبَلَدِ,شہر کی,(are) free (to dwell)
وَاَنْتَ,اور تو,in this
حِلٌّ,حلال ہے/ داخل ہونے والا ہے,city
بِهٰذَا,اس,And the begetter
الْبَلَدِ,شہر میں,and what
وَوَالِدٍ,اور قسم ہے والد کی/ باپ کی,he begot
وَّمَا,اس کی جو,Certainly
وَلَدَ,اس نے جنم دیا,We have created
لَقَدْ,البتہ تحقیق,man
خَلَقْنَا,پیدا کیا ہم نے,(to be) in
الْاِنْسَانَ,انسان کو,hardship
فِیْ,میں,Does he think
كَبَدٍ,محنت میں/ سختی میں,that
اَیَحْسَبُ,کیا وہ سمجھتا ہے,not
اَنْ,کہ ہرگز,has power
لَّنْ,نہیں,over him
یَّقْدِرَ,قادر ہوسکے گا/ قابو پاسکے گا,anyone
عَلَیْهِ,اس پر,He will say
اَحَدٌ,کوئی ایک,I have squandered
یَقُوْلُ,وہ کہتا ہے,wealth
اَهْلَكْتُ,میں نے ہلاک کیا,abundant
مَالًا,مال,Does he think
لُّبَدًا,ڈھیروں,that
اَیَحْسَبُ,کیا وہ سمجھتا ہے,not
اَنْ,کہ,sees him
لَّمْ,نہیں,anyone
یَرَهٗۤ,دیکھا اس کو,Have not
اَحَدٌ,کسی ایک نے,We made
اَلَمْ,کیا نہیں,for him
نَجْعَلْ,ہم نے بنائیں,two eyes
لَّهٗ,اس کے لئے,And a tongue
عَیْنَیْنِ,دو آنکھیں,and two lips
وَلِسَانًا,اور ایک زبان,And shown him
وَّشَفَتَیْنِ,اور دو ہونٹ,the two ways
وَهَدَیْنٰهُ,اور راہ دکھائی ہم نے اس کو/ دکھائے ہم نے اس کو,But not
النَّجْدَیْنِ,دو راستوں کی/ دو راستے,he has attempted
فَلَا,پس نہ,the steep path
اقْتَحَمَ,گزرا وہ,And what
الْعَقَبَةَ,پہاڑ کی گھاٹی میں,can make you know
وَمَاۤ,اور کیا چیز,what
اَدْرٰىكَ,بتائے تجھ کو,the steep path (is)
مَا,کہ کیا ہے,(It is) freeing
الْعَقَبَةُ,وہ دشوار گزار گھاٹی,a neck
فَكُّ,آزاد کرنا,Or
رَقَبَةٍ,ایک گردن کا,feeding
اَوْ,یا,in
اِطْعٰمٌ,کھانا کھلانا,a day
فِیْ,میں,of
یَوْمٍ,ایک دن,severe hunger
ذِیْ,والے کو,An orphan
مَسْغَبَةٍ,بھوک (والے کو ),of
یَّتِیْمًا,کسی یتیم کو,near relationship
ذَا,والے,Or
مَقْرَبَةٍ,قریبی کو/ قربت والے,a needy person
اَوْ,یا,in
مِسْكِیْنًا,کسی مسکین کو,misery
ذَا,نا معلوم,Then
مَتْرَبَةٍ,خاک نشین کو,he is
ثُمَّ,پھر,of
كَانَ,ہوگا وہ,those who
مِنَ,سے,believe
الَّذِیْنَ,ان لوگوں میں (سے),and enjoin (each other)
اٰمَنُوْا,جو ایمان لائے,to patience
وَتَوَاصَوْا,اور انہوں نے ایک دوسرے کو تلقین کی,and enjoin (each other)
بِالصَّبْرِ,صبر کی,to compassion
وَتَوَاصَوْا,اور ایک دوسرے کو تلقین کی,Those
بِالْمَرْحَمَةِ,رحم کی/ مہربانی کی,(are the) companions
اُولٰٓىِٕكَ,یہی لوگ,(of) the right (hand)
اَصْحٰبُ,والے ہیں,But those who
الْمَیْمَنَةِ,دائیں بازو (والے ہیں),disbelieve
وَالَّذِیْنَ,اور وہ لوگ,in Our Verses
كَفَرُوْا,جنہوں نے کفر کیا,they
بِاٰیٰتِنَا,ہماری آیات کے ساتھ,(are the) companions
هُمْ,وہ,(of) the left (hand)
اَصْحٰبُ,والے ہیں,Over them
الْمَشْـَٔمَةِ,بائیں ہاتھ (والے ہیں),(will be the) Fire
عَلَیْهِمْ,ان پر,closed in
نَارٌ,آگ ہے,By the sun
مُّؤْصَدَةٌ,بند کی ہوئی,and its brightness
وَالشَّمْسِ,قسم ہے سورج کی,And the moon
وَضُحٰىهَا,اور قسم ہے اس کی دھوپ کی,when
وَالْقَمَرِ,اور قسم ہے چاند کی,it follows it
اِذَا,جبکہ,And the day
تَلٰىهَا,وہ اس کے پیچھے آئے,when
وَالنَّهَارِ,اور قسم ہے دن کی,it displays it
اِذَا,جبکہ,And the night
جَلّٰىهَا,وہ اس کو ظاہر کرے,when
وَالَّیْلِ,اور قسم ہے رات کی,it covers it
اِذَا,جب,And the heaven
یَغْشٰىهَا,وہ چھا جائے اس پر,and (He) Who
وَالسَّمَآءِ,اور قسم ہے آسمان کی,constructed it
وَمَا,اور اس کی,And the earth
بَنٰىهَا,جس نے بنایا اس کو,and by (He) Who
وَالْاَرْضِ,اور قسم ہے زمین کی,spread it
وَمَا,اور اس کی,And (the) soul
طَحٰىهَا,جس نے بچھایا اس کو,and (He) Who
وَنَفْسٍ,اور قسم ہے نفس انسانی کی,proportioned it
وَّمَا,اور اس کی,And He inspired it
سَوّٰىهَا,جس نے درست کیا اس کو/ ہموار کیا اس کو,(to distinguish) its wickedness
فَاَلْهَمَهَا,پس اس نے الہام کیا اس کو,and its righteousness
فُجُوْرَهَا,اور اس کی بدی کو,Indeed
وَتَقْوٰىهَا,اور اس کے تقویٰ کو,he succeeds
قَدْ,یقیناً,who
اَفْلَحَ,فلاح پا گیا,purifies it
مَنْ,جس نے,And indeed
زَكّٰىهَا,پاک کیا اس کو,he fails
وَقَدْ,اور یقیناً,who
خَابَ,ناکام ہوا,buries it
مَنْ,جس نے,Denied
دَسّٰىهَا,دبا دیا اس کو,Thamud
كَذَّبَتْ,جھٹلایا,by their transgression
ثَمُوْدُ,ثمود نے,When
بِطَغْوٰىهَاۤ,اپنی سرکشی کے ساتھ,(was) sent forth
اِذِ,جب,(the) most wicked of them
انْۢبَعَثَ,اٹھا,But said
اَشْقٰىهَا,سب سے بڑا بدبخت اس کا,to them
فَقَالَ,تو کہا,(the) Messenger
لَهُمْ,ان کو,(of) Allah
رَسُوْلُ,رسول نے,(It is the) she-camel
اللّٰهِ,اللہ کے,(of) Allah
نَاقَةَ,اونٹنی ہے,and her drink
اللّٰهِ,اللہ کی,But they denied him
وَسُقْیٰهَا,اور پانی پلانا اس کو,and they hamstrung her
فَكَذَّبُوْهُ,تو انہوں نے جھٹلایا اس کو,So destroyed
فَعَقَرُوْهَا,پھر کاٹ ڈالا اس کو,them
فَدَمْدَمَ,تو ہلاکت ڈالی,their Lord
عَلَیْهِمْ,ان پر,for their sin
رَبُّهُمْ,ان کے رب نے,and leveled them
بِذَنْۢبِهِمْ,ان کے گناہوں کی وجہ سے,And not
فَسَوّٰىهَا,پھر برابر کردیا اس کو,He fears
وَلَا,اور نہیں,its consequences
یَخَافُ,وہ ڈرتا,By the night
عُقْبٰهَا,اس کے انجام سے,when
وَالَّیْلِ,قسم ہے رات کی,it covers
اِذَا,جب,And the day
یَغْشٰی,وہ چھا جائے,when
وَالنَّهَارِ,قسم ہے دن کی,it shines in brightness
اِذَا,جب,And He Who
تَجَلّٰی,وہ روشن ہو,created
وَمَا,اور اس کی جس نے,the male
خَلَقَ,پیدا کیا,and the female
الذَّكَرَ,نر کو,Indeed
وَالْاُ,اور مادہ کو,your efforts
اِنَّ,بیشک,(are) surely diverse
سَعْیَكُمْ,تمہاری کوشش,Then as for
لَشَتّٰی,البتہ مختلف طرح کی ہے,(him) who
فَاَمَّا,تو رہا,gives
مَنْ,وہ جس نے,and fears
اَعْطٰی,دیا,And believes
وَاتَّقٰی,اور تقویٰ کیا,in the best
وَصَدَّقَ,اور تصدیق کی,Then We will ease him
بِالْحُسْنٰی,بھلائی کی,towards [the] ease
فَسَنُیَسِّرُهٗ,پس عنقریب ہم آسانی دیں گے اس کو,But as for
لِلْیُسْرٰی,نیکی کے لئے/ آسانی کے لئے,(him) who
وَاَمَّا,اور رہا وہ,withholds
مَنْ,جس نے,and considers himself free from need
بَخِلَ,بخل کیا,And denies
وَاسْتَغْنٰی,اور بےپروائی برتی,the best
وَكَذَّبَ,اور جھٹلایا,Then We will ease him
بِالْحُسْنٰی,نیکی کو/ بھلائی کو,towards [the] difficulty
فَسَنُیَسِّرُهٗ,پس عنقریب ہم آسانی دیں گے اس کو,And not
لِلْعُسْرٰی,تنگی کے لئے,will avail
وَمَا,اور نہیں,him
یُغْنِیْ,کس کام آئے گا/  کام آئے گا,his wealth
عَنْهُ,اس کو,when
مَالُهٗۤ,اس کا مال,he falls
اِذَا,جب,Indeed
تَرَدّٰی,وہ ہلاک ہوگیا,upon Us
اِنَّ,بیشک,(is) the guidance
عَلَیْنَا,ہمارے ذمہ,And indeed
لَلْهُدٰی,البتہ ہدایت ہے,for Us
وَاِنَّ,اور بیشک,(is) the Hereafter
لَنَا,ہمارے لئے,and the first (life)
لَلْاٰخِرَةَ,البتہ آخرت ہے,So I warn you
وَالْاُوْلٰی,اور اولیٰ / دنیا,(of) a Fire
فَاَنْذَرْتُكُمْ,تو خبردار کیا میں نے تم کو,blazing
نَارًا,ایک آگ سے,Not
تَلَظّٰی,جو بھٹرکتی ہے,will burn (in) it
لَا,نہ,except
یَصْلٰىهَاۤ,داخل ہوگا اس میں,the most wretched
اِلَّا,مگر,The one who
الْاَشْقَی,بدبخت,denied
الَّذِیْ,جس نے,and turned away
كَذَّبَ,جھٹلایا,But will be removed from it
وَتَوَلّٰی,اور منہ موڑ لیا,the righteous
وَسَیُجَنَّبُهَا,اور عنقریب بچالیا جائے گا اس سے,The one who
الْاَتْقَی,سب سے زیادہ پرہیزگار,gives
الَّذِیْ,وہ جو,his wealth
یُؤْتِیْ,دیتا ہے,(to) purify himself
مَالَهٗ,مال اپنا,And not
یَتَزَكّٰی,کہ پاکیزگی اختیار کرے,for anyone
وَمَا,اور نہیں,with him
لِاَحَدٍ,کسی ایک کے لئے,any
عِنْدَهٗ,اس کے پاس,favor
مِنْ,سے,to be recompensed
نِّعْمَةٍ,نعمت میں (سے),Except
تُجْزٰۤی,جس کا بدلہ دیا جائے گا/ اسے دینا ہو,seeking
اِلَّا,سوائے/ مگر,(the) Countenance
